id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Lenny_Keebler87@hotmail.com;fearful aside;2024-05-26T20:08:09;29278;22729
2;Rubye;Jerde;Jabari39@gmail.com;psst right duh;2024-05-26T22:20:53;13380;15023
3;Laney;Medhurst;Lelah_Schmidt@gmail.com;provided cautiously;2024-05-27T11:42:54;20492;21868
4;Axel;Bernhard;Ana_Goodwin47@yahoo.com;why excepting slippers;2024-05-27T07:03:23;8642;16574
5;Aleen;Heathcote;Chauncey_Cole@gmail.com;shoo;2024-05-27T12:05:57;3222;5505
6;Jackson;Fay;Charley_Murphy40@hotmail.com;suppurate pride wherever;2024-05-27T11:28:19;12640;14602
7;Vinnie;West-Bechtelar;Jamil.Greenholt@yahoo.com;ouch engorge;2024-05-27T00:22:17;11650;10509
8;Mayra;Kihn;Nikolas.Hansen78@yahoo.com;who meanwhile;2024-05-27T12:19:32;20904;25191
9;Ernest;Hudson;Verla.Jenkins@yahoo.com;damp;2024-05-27T08:13:59;1703;14983
10;Cayla;Aufderhar;Madelyn_Bins42@hotmail.com;as amidst stop;2024-05-26T20:06:18;2600;14756
